id,target,mutants_in_minimal,test_suites,assertions,mutants,killed_mutants,not_equivalent_mutants,%,differential_success,minimal,survive,killed,equivalent,class,method,line,column,project
0,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),445,0,h2
1,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,isCommon(int),389,0,h2
7,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),457,0,h2
11,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),430,0,h2
12,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),415,0,h2
13,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),427,0,h2
14,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),433,0,h2
19,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),448,0,h2
21,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),436,0,h2
22,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),442,0,h2
23,case_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,isCommon(int),389,0,h2
27,exp,3,3,3,4,4,4,100.00%,TRUE,"AOIU -exp,AOIS exp--,AOIS exp++",,"LOI ~exp,AOIU -exp,AOIS exp--,AOIS exp++",,org.h2.api.ErrorCode,getState(int),412,0,h2
39,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),424,0,h2
40,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),439,0,h2
42,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,isCommon(int),405,0,h2
43,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,isCommon(int),408,0,h2
44,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),418,0,h2
